生產日期,機台號,班別,產能,OEE,良率
2022/9/1,h01,D,1802,68.5,91.2
2022/9/1,h01,D,1802,68.5,91.2
2022/9/1,h01,N,0,0,0
2022/9/1,h01,N,0,0,0
2022/9/2,h01,D,1877,71.4,94.6
2022/9/2,h01,D,1877,71.4,94.6
2022/9/2,h01,N,0,0,0
2022/9/2,h01,N,0,0,0
2022/9/3,h01,D,1677,63.8,94.2
2022/9/3,h01,D,1677,63.8,94.2
2022/9/3,h01,N,0,0,0
2022/9/3,h01,N,0,0,0
2022/9/4,h01,D,0,0,0
2022/9/4,h01,D,0,0,0
2022/9/4,h01,N,0,0,0
2022/9/4,h01,N,0,0,0
2022/9/5,h01,D,0,0,0
2022/9/5,h01,D,0,0,0
2022/9/5,h01,N,0,0,0
2022/9/5,h01,N,0,0,0
2022/9/6,h01,D,1334,50.7,95.5
2022/9/6,h01,D,1334,50.7,95.5
2022/9/6,h01,N,0,0,0
2022/9/6,h01,N,0,0,0
2022/9/7,h01,D,1996,75.9,94
2022/9/7,h01,D,1996,75.9,94
2022/9/7,h01,N,31,1.2,81.6
2022/9/7,h01,N,31,1.2,81.6
2022/9/8,h01,D,1950,74.1,96.3
2022/9/8,h01,D,1950,74.1,96.3
2022/9/8,h01,N,0,0,0
2022/9/8,h01,N,0,0,0
2022/9/9,h01,D,0,0,0
2022/9/9,h01,D,0,0,0
2022/9/9,h01,N,0,0,0
2022/9/9,h01,N,0,0,0
2022/9/10,h01,D,0,0,0
2022/9/10,h01,D,0,0,0
2022/9/10,h01,N,0,0,0
2022/9/10,h01,N,0,0,0
2022/9/11,h01,D,0,0,0
2022/9/11,h01,D,0,0,0
2022/9/11,h01,N,0,0,0
2022/9/11,h01,N,0,0,0
2022/9/12,h01,D,0,0,0
2022/9/12,h01,D,0,0,0
2022/9/12,h01,N,0,0,0
2022/9/12,h01,N,0,0,0
2022/9/13,h01,D,1916,72.8,95.7
2022/9/13,h01,D,1916,72.8,95.7
2022/9/13,h01,N,0,0,0
2022/9/13,h01,N,0,0,0
